2025-09-01 | ETL_get_previous_match_news | INFO     | Logger 'ETL_get_previous_match_news' initialized. Logging to: logs/ETL_get_previous_match_news.log
2025-09-01 | ETL_get_previous_match_news | INFO     | 🚀 Starting ETL pipeline for ETL_get_previous_match_news...
2025-09-01 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-01 | ETL_get_previous_match_news | INFO     | READING SUPABASE TABLE AND EXTRACTING UNIQUE TEAMS
2025-09-01 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-01 | ETL_get_previous_match_news | INFO     | ✅ Retrieved 20 unique teams from 'article_urls'
2025-09-01 | ETL_get_previous_match_news | INFO     | Processing 20 teams: ['Alaves', 'Athletic Bilbao', 'Atletico Madrid', 'Barcelona', 'Betis', 'Celta de Vigo', 'Elche', 'Espanyol', 'Getafe', 'Girona', 'Levante', 'Mallorca', 'Osasuna', 'Oviedo', 'Rayo Vallecano', 'Real Madrid', 'Real Sociedad', 'Sevilla FC', 'Valencia', 'Villareal']
2025-09-01 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-01 | ETL_get_previous_match_news | INFO     | HANDLING PREVIOUS MATCHES FOR TEAM: Alaves
2025-09-01 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-01 | ETL_get_previous_match_news | INFO     | Extract all articles from the last 14 days...
2025-09-01 | ETL_get_previous_match_news | INFO     | ✅ Retrieved 762 articles from 'article_contents' (last 14 days).
2025-09-01 | ETL_get_previous_match_news | INFO     | Filtering articles for team: Alaves
2025-09-01 | ETL_get_previous_match_news | INFO     | Filtering articles with injury tags: ['cronica_partido']
2025-09-01 | ETL_get_previous_match_news | INFO     | Found 10 transfer-tagged articles for Alaves
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | FORMATTING LLM OUTPUT FOR PREVIOUS MATCHES TABLE
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-09-01 | ETL_get_previous_match_news | INFO     | Prepared 9 article snippets (dropped 0 with no usable text; limit 60).
2025-09-01 | ETL_get_previous_match_news | INFO     | Building system and user prompts for LLM
2025-09-01 | ETL_get_previous_match_news | INFO     | Calling LLM orchestrator
2025-09-01 | ETL_get_previous_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-09-01 | ETL_get_previous_match_news | INFO     | Gemini returned a valid response.
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-09-01 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-01 | ETL_get_previous_match_news | INFO     | HANDLING PREVIOUS MATCHES FOR TEAM: Athletic Bilbao
2025-09-01 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-01 | ETL_get_previous_match_news | INFO     | Extract all articles from the last 14 days...
2025-09-01 | ETL_get_previous_match_news | INFO     | ✅ Retrieved 762 articles from 'article_contents' (last 14 days).
2025-09-01 | ETL_get_previous_match_news | INFO     | Filtering articles for team: Athletic Bilbao
2025-09-01 | ETL_get_previous_match_news | INFO     | Filtering articles with injury tags: ['cronica_partido']
2025-09-01 | ETL_get_previous_match_news | INFO     | Found 24 transfer-tagged articles for Athletic Bilbao
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | FORMATTING LLM OUTPUT FOR PREVIOUS MATCHES TABLE
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-09-01 | ETL_get_previous_match_news | INFO     | Prepared 23 article snippets (dropped 0 with no usable text; limit 60).
2025-09-01 | ETL_get_previous_match_news | INFO     | Building system and user prompts for LLM
2025-09-01 | ETL_get_previous_match_news | INFO     | Calling LLM orchestrator
2025-09-01 | ETL_get_previous_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-09-01 | ETL_get_previous_match_news | INFO     | Gemini returned a valid response.
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-09-01 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-01 | ETL_get_previous_match_news | INFO     | HANDLING PREVIOUS MATCHES FOR TEAM: Atletico Madrid
2025-09-01 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-01 | ETL_get_previous_match_news | INFO     | Extract all articles from the last 14 days...
2025-09-01 | ETL_get_previous_match_news | INFO     | ✅ Retrieved 762 articles from 'article_contents' (last 14 days).
2025-09-01 | ETL_get_previous_match_news | INFO     | Filtering articles for team: Atletico Madrid
2025-09-01 | ETL_get_previous_match_news | INFO     | Filtering articles with injury tags: ['cronica_partido']
2025-09-01 | ETL_get_previous_match_news | INFO     | Found 16 transfer-tagged articles for Atletico Madrid
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | FORMATTING LLM OUTPUT FOR PREVIOUS MATCHES TABLE
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-09-01 | ETL_get_previous_match_news | INFO     | Prepared 16 article snippets (dropped 0 with no usable text; limit 60).
2025-09-01 | ETL_get_previous_match_news | INFO     | Building system and user prompts for LLM
2025-09-01 | ETL_get_previous_match_news | INFO     | Calling LLM orchestrator
2025-09-01 | ETL_get_previous_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-09-01 | ETL_get_previous_match_news | INFO     | Gemini returned a valid response.
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-09-01 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-01 | ETL_get_previous_match_news | INFO     | HANDLING PREVIOUS MATCHES FOR TEAM: Barcelona
2025-09-01 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-01 | ETL_get_previous_match_news | INFO     | Extract all articles from the last 14 days...
2025-09-01 | ETL_get_previous_match_news | INFO     | ✅ Retrieved 762 articles from 'article_contents' (last 14 days).
2025-09-01 | ETL_get_previous_match_news | INFO     | Filtering articles for team: Barcelona
2025-09-01 | ETL_get_previous_match_news | INFO     | Filtering articles with injury tags: ['cronica_partido']
2025-09-01 | ETL_get_previous_match_news | INFO     | Found 10 transfer-tagged articles for Barcelona
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | FORMATTING LLM OUTPUT FOR PREVIOUS MATCHES TABLE
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | Transforming the dataframe to dictionary format for LLM ingestion
2025-09-01 | ETL_get_previous_match_news | INFO     | Prepared 10 article snippets (dropped 0 with no usable text; limit 60).
2025-09-01 | ETL_get_previous_match_news | INFO     | Building system and user prompts for LLM
2025-09-01 | ETL_get_previous_match_news | INFO     | Calling LLM orchestrator
2025-09-01 | ETL_get_previous_match_news | INFO     | 🔁 Trying Gemini (Google) model...
2025-09-01 | ETL_get_previous_match_news | INFO     | Gemini returned a valid response.
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | WRITING RESULTS BACK TO SUPABASE
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | ✅ Inserted 1 rows into 'article_for_streamlit'
2025-09-01 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-01 | ETL_get_previous_match_news | INFO     | HANDLING PREVIOUS MATCHES FOR TEAM: Betis
2025-09-01 | ETL_get_previous_match_news | INFO     | ============================================================
2025-09-01 | ETL_get_previous_match_news | INFO     | Extract all articles from the last 14 days...
2025-09-01 | ETL_get_previous_match_news | INFO     | ✅ Retrieved 762 articles from 'article_contents' (last 14 days).
2025-09-01 | ETL_get_previous_match_news | INFO     | Filtering articles for team: Betis
2025-09-01 | ETL_get_previous_match_news | INFO     | Filtering articles with injury tags: ['cronica_partido']
2025-09-01 | ETL_get_previous_match_news | INFO     | Found 44 transfer-tagged articles for Betis
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
2025-09-01 | ETL_get_previous_match_news | INFO     | FORMATTING LLM OUTPUT FOR PREVIOUS MATCHES TABLE
2025-09-01 | ETL_get_previous_match_news | INFO     | ------------------------------
